ap_itp_result,ap_itp_result_assists,ap_itp_result_completed,ap_itp_result_failed,ap_itp_result_headed,ap_itp_result_longball,ap_itp_result_team_id,ap_itp_result_through_ball,ap_itp_result_throw_ins,ap_result,ap_result_assists,ap_result_completed,ap_result_failed,ap_result_headed,ap_result_longball,ap_result_team_id,ap_result_through_ball,ap_result_throw_ins,assists,event,event_a,event_action_type,event_injurytime_play,event_k,event_mins,event_minsec,event_player_id,event_secs,event_team_id,event_throw_ins,event_type,headed,long_ball,time_slice_id,time_slice_name,competition,kickoff,match_id,end_x,end_y,start_x,start_y
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,13,835,7969,55,309,0,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,44.4,36.1,34.7,18.3
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,13,833,10072,53,309,0,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,34.6,17.4,44,14.3
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,13,831,7969,51,309,0,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,44.0,14.3,31.4,13.5
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,12,725,544,5,49,1,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,68.2,3.4,37.6,0
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,713,9470,53,49,0,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,34.8,2.3,33.4,14.6
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,712,544,52,49,0,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,33.4,14.6,31.1,2.9
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,709,729,49,49,0,completed,true,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,26.6,1.9,19.6,6.2
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,702,12372,42,309,0,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,40.7,88.1,48.1,57.6
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,700,20871,40,309,0,completed,true,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,48.9,57.0,45.8,63.7
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,11,698,925,38,49,0,completed,,true,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,43.4,53.4,36.3,63
